Zeit;Kanal A
(ms);(V)

-25,04999936;0,88668800
-25,02499936;0,88668800
-24,99999936;0,86780270
-24,97499936;0,88668800
-24,94999936;0,88668800
-24,92499936;0,88668800
-24,89999936;0,90557330
-24,87499936;0,88668800
-24,84999936;0,90557330
-24,82499936;0,88668800
-24,79999936;0,90557330
-24,77499936;0,90557330
-24,74999936;0,88668800
-24,72499936;0,90557330
-24,69999937;0,86780270
-24,67499937;0,88668800
-24,64999937;0,88668800
-24,62499937;0,90557330
-24,59999937;0,88668800
-24,57499937;0,88668800
-24,54999937;0,88668800
-24,52499937;0,88668800
-24,49999937;0,88668800
-24,47499937;0,90557330
-24,44999937;0,88668800
-24,42499937;0,88668800
-24,39999937;0,94328250
-24,37499937;0,90557330
-24,34999937;0,88668800
-24,32499937;0,90557330
-24,29999938;0,88668800
-24,27499938;0,90557330
-24,24999938;0,86780270
-24,22499938;0,88668800
-24,19999938;0,90557330
-24,17499938;0,88668800
-24,14999938;0,86780270
-24,12499938;0,88668800
-24,09999938;0,88668800
-24,07499938;0,88668800
-24,04999938;0,88668800
-24,02499938;0,88668800
-23,99999938;0,88668800
-23,97499938;0,86780270
-23,94999938;0,88668800
-23,92499938;0,90557330
-23,89999939;0,88668800
-23,87499939;0,88668800
-23,84999939;0,88668800
-23,82499939;0,88668800
-23,79999939;0,88668800
-23,77499939;0,88668800
-23,74999939;0,88668800
-23,72499939;0,90557330
-23,69999939;0,88668800
-23,67499939;0,88668800
-23,64999939;0,88668800
-23,62499939;0,86780270
-23,59999939;0,88668800
-23,57499939;0,90557330
-23,54999939;0,94328250
-23,52499939;0,88668800
-23,49999940;0,88668800
-23,47499940;0,90557330
-23,44999940;0,90557330
-23,42499940;0,88668800
-23,39999940;0,88668800
-23,37499940;0,90557330
-23,34999940;0,88668800
-23,32499940;0,94328250
-23,29999940;0,88668800
-23,27499940;0,88668800
-23,24999940;0,88668800
-23,22499940;0,90557330
-23,19999940;0,88668800
-23,17499940;0,90557330
-23,14999940;0,86780270
-23,12499940;0,88668800
-23,09999941;0,88668800
-23,07499941;0,90557330
-23,04999941;0,90557330
-23,02499941;0,88668800
-22,99999941;0,90557330
-22,97499941;0,90557330
-22,94999941;0,88668800
-22,92499941;0,88668800
-22,89999941;0,90557330
-22,87499941;0,92445870
-22,84999941;0,90557330
-22,82499941;0,88668800
-22,79999941;0,90557330
-22,77499941;0,90557330
-22,74999941;0,88668800
-22,72499942;0,90557330
-22,69999942;0,90557330
-22,67499942;0,90557330
-22,64999942;0,88668800
-22,62499942;0,88668800
-22,59999942;0,90557330
-22,57499942;0,88668800
-22,54999942;0,88668800
-22,52499942;0,88668800
-22,49999942;0,88668800
-22,47499942;0,83009350
-22,44999942;0,90557330
-22,42499942;0,88668800
-22,39999942;0,88668800
-22,37499942;0,88668800
-22,34999942;0,86780270
-22,32499943;0,90557330
-22,29999943;0,88668800
-22,27499943;0,88668800
-22,24999943;0,88668800
-22,22499943;0,88668800
-22,19999943;0,88668800
-22,17499943;0,88668800
-22,14999943;0,88668800
-22,12499943;0,90557330
