Zeit;Kanal A
(ms);(V)

-25.04069703;0.62253930
-25.01569703;0.62253930
-24.99069703;0.62253930
-24.96569703;0.62253930
-24.94069703;0.64142470
-24.91569703;0.62253930
-24.89069703;0.62253930
-24.86569704;0.64142470
-24.84069704;0.62253930
-24.81569704;0.62253930
-24.79069704;0.62253930
-24.76569704;0.62253930
-24.74069704;0.60371550
-24.71569704;0.62253930
-24.69069704;0.62253930
-24.66569704;0.60371550
-24.64069704;0.62253930
-24.61569704;0.60371550
-24.59069704;0.62253930
-24.56569704;0.62253930
-24.54069704;0.62253930
-24.51569704;0.60371550
-24.49069704;0.62253930
-24.46569705;0.60371550
-24.44069705;0.62253930
-24.41569705;0.62253930
-24.39069705;0.62253930
-24.36569705;0.60371550
-24.34069705;0.62253930
-24.31569705;0.62253930
-24.29069705;0.60371550
-24.26569705;0.60371550
-24.24069705;0.64142470
-24.21569705;0.60371550
-24.19069705;0.62253930
-24.16569705;0.62253930
-24.14069705;0.62253930
-24.11569705;0.60371550
-24.09069705;0.62253930
-24.06569706;0.60371550
-24.04069706;0.62253930
-24.01569706;0.56594490
-23.99069706;0.62253930
-23.96569706;0.62253930
-23.94069706;0.62253930
-23.91569706;0.62253930
-23.89069706;0.60371550
-23.86569706;0.58483020
-23.84069706;0.60371550
-23.81569706;0.62253930
-23.79069706;0.64142470
-23.76569706;0.60371550
-23.74069706;0.62253930
-23.71569706;0.62253930
-23.69069706;0.62253930
-23.66569707;0.62253930
-23.64069707;0.60371550
-23.61569707;0.62253930
-23.59069707;0.62253930
-23.56569707;0.62253930
-23.54069707;0.62253930
-23.51569707;0.62253930
-23.49069707;0.60371550
-23.46569707;0.62253930
-23.44069707;0.60371550
-23.41569707;0.62253930
-23.39069707;0.62253930
-23.36569707;0.62253930
-23.34069707;0.62253930
-23.31569707;0.62253930
-23.29069707;0.62253930
-23.26569708;0.62253930
-23.24069708;0.62253930
-23.21569708;0.60371550
-23.19069708;0.60371550
-23.16569708;0.64142470
-23.14069708;0.62253930
-23.11569708;0.62253930
-23.09069708;0.62253930
-23.06569708;0.62253930
-23.04069708;0.62253930
-23.01569708;0.62253930
-22.99069708;0.62253930
-22.96569708;0.60371550
-22.94069708;0.60371550
-22.91569708;0.62253930
-22.89069709;0.62253930
-22.86569709;0.62253930
-22.84069709;0.62253930
-22.81569709;0.62253930
-22.79069709;0.62253930
-22.76569709;0.58483020
-22.74069709;0.62253930
-22.71569709;0.62253930
-22.69069709;0.62253930
-22.66569709;0.62253930
-22.64069709;0.62253930
-22.61569709;0.60371550
-22.59069709;0.60371550
-22.56569709;0.60371550
-22.54069709;0.58483020
-22.51569709;0.60371550
-22.49069710;0.62253930
-22.46569710;0.60371550
-22.44069710;0.62253930
-22.41569710;0.62253930
-22.39069710;0.62253930
-22.36569710;0.62253930
-22.34069710;0.56594490
-22.31569710;0.62253930
-22.29069710;0.62253930
-22.26569710;0.62253930
-22.24069710;0.62253930
-22.21569710;0.60371550
-22.19069710;0.62253930
-22.16569710;0.62253930
-22.14069710;0.62253930
-22.11569710;0.62253930
